[212, 117]
[212, 114]
[212, 114]
[212, 116]
[212, 116]
[273, 118]
[273, 118]
[273, 117]
[212, 115]
[212, 115]
[212, 114]
[212, 114]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[273, 117]
[273, 117]
[273, 115]
[273, 115]
[273, 115]
[273, 115]
[273, 115]
[195, 127]
[195, 127]
[195, 127]
[195, 127]
[195, 127]
[195, 126]
[195, 126]
[212, 117]
[212, 117]
[212, 118]
[195, 127]
[195, 127]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 117]
[212, 116]
[212, 116]
[212, 116]
[184, 130]
[184, 130]
[212, 116]
[184, 130]
[184, 130]
[184, 130]
[184, 130]
[184, 131]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[273, 115]
[273, 115]
[273, 115]
[273, 115]
[273, 115]
[273, 115]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 117]
[273, 117]
[213, 114]
[272, 117]
[272, 117]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 114]
[212, 114]
[212, 115]
[212, 115]
[212, 115]
[213, 114]
[213, 114]
[212, 119]
[212, 119]
[212, 115]
[212, 115]
[212, 116]
[212, 116]
[212, 117]
[272, 116]
[272, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 114]
[212, 114]
[212, 116]
[212, 116]
[212, 114]
[212, 114]
[272, 114]
[273, 116]
[272, 115]
[272, 115]
[272, 115]
[212, 116]
[212, 116]
[273, 114]
[212, 116]
[212, 116]
[272, 116]
[272, 116]
[212, 115]
[212, 115]
[273, 117]
[273, 117]
[212, 115]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 114]
[212, 114]
[212, 115]
[212, 115]
[212, 116]
[212, 114]
[212, 114]
[213, 113]
[213, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 112]
[212, 116]
[212, 116]
[212, 115]
[212, 115]
[212, 114]
[212, 114]
[212, 116]
[212, 116]
[212, 112]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
[273, 114]
[212, 116]
[212, 116]
[212, 112]
[212, 112]
[273, 114]
[273, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 115]
[212, 115]
[195, 127]
[195, 127]
[212, 113]
[212, 113]
[273, 114]
[273, 114]
[212, 115]
[212, 116]
[212, 116]
[212, 117]
[212, 117]
[212, 116]
[212, 116]
[212, 116]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[213, 110]
[213, 110]
[212, 115]
[212, 114]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 113]
[213, 112]
[212, 113]
[212, 113]
[212, 113]
[195, 127]
[195, 127]
[213, 114]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 111]
[212, 111]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 111]
[212, 111]
[212, 111]
[212, 111]
[212, 109]
[212, 109]
[212, 109]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 115]
[212, 115]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[273, 118]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 118]
[195, 126]
[195, 126]
[273, 117]
[273, 116]
[212, 116]
[212, 116]
[212, 115]
[212, 115]
[212, 116]
[212, 116]
[212, 116]
[272, 110]
[272, 110]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 116]
[212, 116]
[212, 114]
[212, 114]
[212, 115]
[212, 115]
[272, 114]
[272, 114]
[184, 130]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 113]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[273, 111]
[273, 111]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 113]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 111]
[212, 111]
[212, 109]
[272, 113]
[272, 113]
[272, 113]
[272, 113]
[272, 113]
[272, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 109]
[212, 110]
[212, 110]
[212, 110]
[212, 110]
[212, 111]
[212, 111]
[212, 109]
[212, 110]
[212, 110]
[212, 110]
[212, 110]
[212, 110]
[212, 110]
[212, 112]
[212, 110]
[212, 110]
[212, 112]
[212, 112]
[272, 114]
[272, 114]
[212, 111]
[212, 111]
[212, 113]
[212, 113]
[212, 110]
[212, 113]
[212, 113]
[212, 111]
[212, 111]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[213, 111]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[212, 114]
[213, 110]
[213, 110]
[273, 113]
[273, 113]
[213, 111]
[213, 111]
[212, 113]
[212, 113]
[212, 113]
[212, 111]
[212, 111]
[212, 111]
[212, 111]
[212, 113]
[212, 111]
[212, 111]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[273, 114]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 111]
[212, 111]
[272, 114]
[272, 114]
[212, 111]
[212, 112]
[212, 112]
[212, 109]
[212, 110]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[213, 108]
[212, 109]
[212, 113]
[212, 112]
[212, 112]
[212, 110]
[212, 110]
[212, 110]
[212, 110]
[212, 110]
[212, 110]
[212, 110]
[212, 113]
[212, 113]
[213, 110]
[213, 110]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[213, 111]
[213, 111]
[213, 111]
[212, 117]
[212, 117]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 114]
[213, 113]
[213, 113]
[213, 110]
[213, 110]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 110]
[212, 114]
[212, 114]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 115]
[212, 115]
[212, 113]
[212, 113]
[212, 114]
[212, 114]
[212, 112]
[212, 114]
[212, 114]
[212, 112]
[212, 112]
[212, 111]
[212, 112]
[212, 112]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 112]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 111]
[212, 111]
[212, 110]
[212, 113]
[212, 113]
[212, 112]
[212, 112]
[212, 113]
[212, 112]
[212, 112]
[212, 110]
[212, 110]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 113]
[212, 111]
[212, 111]
[212, 111]
[212, 111]
[212, 113]
[212, 113]
[212, 116]
[212, 116]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 116]
[212, 115]
[212, 115]
[212, 111]
[212, 111]
[212, 115]
[212, 115]
[196, 124]
[196, 124]
[212, 112]
[212, 112]
[212, 115]
[212, 112]
[212, 112]
[212, 113]
[212, 113]
[213, 112]
[213, 112]
[212, 115]
[212, 115]
[212, 115]
[213, 113]
[213, 113]
[212, 118]
[212, 118]
[212, 118]
[273, 115]
[273, 115]
[273, 115]
[273, 115]
[273, 115]
[273, 115]
[212, 119]
[212, 119]
[212, 119]
[212, 119]
[212, 119]
[212, 120]
[212, 120]
[212, 120]
[212, 120]
[212, 119]
[212, 119]
[212, 120]
[212, 120]
[212, 120]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 113]
[212, 113]
[212, 116]
[212, 116]
[212, 118]
[212, 118]
[212, 119]
[212, 119]
[212, 114]
[212, 115]
[212, 115]
[273, 117]
[273, 117]
[212, 114]
[212, 114]
[212, 116]
[212, 116]
[212, 117]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 114]
[212, 114]
[212, 117]
[212, 117]
[212, 117]
[213, 114]
[213, 114]
[213, 116]
[213, 116]
[212, 117]
[212, 116]
[212, 116]
[213, 115]
[213, 115]
[212, 115]
[212, 115]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[184, 132]
[196, 126]
[196, 126]
[212, 119]
[212, 119]
[212, 120]
[212, 120]
[213, 116]
[184, 131]
[184, 131]
[212, 119]
[212, 119]
[212, 120]
[212, 120]
[213, 115]
[184, 132]
[184, 132]
[273, 117]
[273, 117]
[212, 120]
[212, 120]
[212, 120]
[212, 120]
[212, 120]
[212, 120]
[272, 117]
[212, 116]
